127.0.0.1 - - [29/Nov/2017:11:50:58 +0530] "GET / HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [29/Nov/2017:11:50:59 +0530] "GET /PSBankApp/WEB-INF/classes/com/ps/springmvc/psbankapp/validations/PSCodeConstraintValidator.java HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [29/Nov/2017:11:51:06 +0530] "GET /PSBankApp/new HTTP/1.1" 200 1543
0:0:0:0:0:0:0:1 - - [29/Nov/2017:11:51:20 +0530] "POST /PSBankApp/saveAccount HTTP/1.1" 200 1861
0:0:0:0:0:0:0:1 - - [29/Nov/2017:11:55:39 +0530] "POST /PSBankApp/saveAccount HTTP/1.1" 200 1881
0:0:0:0:0:0:0:1 - - [29/Nov/2017:12:00:43 +0530] "POST /PSBankApp/saveAccount HTTP/1.1" 200 1881
0:0:0:0:0:0:0:1 - - [29/Nov/2017:12:01:15 +0530] "POST /PSBankApp/saveAccount HTTP/1.1" 200 1908
0:0:0:0:0:0:0:1 - - [29/Nov/2017:12:02:00 +0530] "POST /PSBankApp/saveAccount HTTP/1.1" 200 1908
0:0:0:0:0:0:0:1 - - [29/Nov/2017:12:02:11 +0530] "POST /PSBankApp/saveAccount HTTP/1.1" 200 1905
0:0:0:0:0:0:0:1 - - [29/Nov/2017:12:02:33 +0530] "POST /PSBankApp/saveAccount HTTP/1.1" 200 1905
0:0:0:0:0:0:0:1 - - [29/Nov/2017:12:02:49 +0530] "POST /PSBankApp/saveAccount HTTP/1.1" 200 1821
